country,cntry,imptrad,ipgdtim,basinc,Rel-Nonrel,Nonrel-Rel,a_div_rel,a_div_nonrel
71.0,AT,1.0,4.0,3.0,0.2,0.8,0.06666666666666665,0.2666666666666666
74.0,AT,2.0,1.0,4.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
75.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
76.0,AT,2.0,2.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
79.0,AT,1.0,6.0,3.0,0.14285714285714285,0.8571428571428571,0.0476190476190476,0.28571428571428564
80.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
82.0,AT,2.0,5.0,2.0,0.2857142857142857,0.7142857142857143,-0.09523809523809525,-0.23809523809523814
83.0,AT,4.0,3.0,3.0,0.5714285714285714,0.42857142857142855,0.1904761904761904,0.14285714285714282
84.0,AT,5.0,1.0,2.0,0.8333333333333334,0.16666666666666666,-0.27777777777777785,-0.05555555555555556
86.0,AT,4.0,3.0,4.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855
89.0,AT,4.0,1.0,1.0,0.8,0.2,-0.8,-0.2
90.0,AT,2.0,3.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
93.0,AT,4.0,3.0,3.0,0.5714285714285714,0.42857142857142855,0.1904761904761904,0.14285714285714282
94.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
97.0,AT,3.0,2.0,3.0,0.6,0.4,0.19999999999999996,0.1333333333333333
101.0,AT,3.0,1.0,2.0,0.75,0.25,-0.25,-0.08333333333333334
102.0,AT,4.0,3.0,1.0,0.5714285714285714,0.42857142857142855,-0.5714285714285714,-0.42857142857142855
104.0,AT,2.0,4.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
110.0,AT,3.0,2.0,3.0,0.6,0.4,0.19999999999999996,0.1333333333333333
112.0,AT,3.0,5.0,1.0,0.375,0.625,-0.375,-0.625
113.0,AT,4.0,2.0,3.0,0.6666666666666666,0.3333333333333333,0.22222222222222215,0.11111111111111108
116.0,AT,1.0,3.0,3.0,0.25,0.75,0.08333333333333331,0.24999999999999994
117.0,AT,1.0,3.0,3.0,0.25,0.75,0.08333333333333331,0.24999999999999994
120.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
122.0,AT,3.0,2.0,3.0,0.6,0.4,0.19999999999999996,0.1333333333333333
123.0,AT,1.0,4.0,4.0,0.2,0.8,0.2,0.8
124.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
126.0,AT,4.0,3.0,3.0,0.5714285714285714,0.42857142857142855,0.1904761904761904,0.14285714285714282
127.0,AT,4.0,3.0,2.0,0.5714285714285714,0.42857142857142855,-0.1904761904761905,-0.14285714285714288
128.0,AT,5.0,2.0,1.0,0.7142857142857143,0.2857142857142857,-0.7142857142857143,-0.2857142857142857
132.0,AT,2.0,2.0,1.0,0.5,0.5,-0.5,-0.5
133.0,AT,3.0,4.0,2.0,0.42857142857142855,0.5714285714285714,-0.14285714285714288,-0.1904761904761905
134.0,AT,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.22222222222222215,0.11111111111111108
135.0,AT,2.0,1.0,1.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,-0.3333333333333333
140.0,AT,5.0,5.0,4.0,0.5,0.5,0.5,0.5
144.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
147.0,AT,5.0,4.0,3.0,0.5555555555555556,0.4444444444444444,0.18518518518518515,0.1481481481481481
152.0,AT,1.0,1.0,4.0,0.5,0.5,0.5,0.5
157.0,AT,1.0,1.0,1.0,0.5,0.5,-0.5,-0.5
159.0,AT,4.0,4.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
162.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
166.0,AT,3.0,3.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
169.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
171.0,AT,2.0,2.0,4.0,0.5,0.5,0.5,0.5
172.0,AT,1.0,1.0,1.0,0.5,0.5,-0.5,-0.5
173.0,AT,2.0,2.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
174.0,AT,4.0,1.0,2.0,0.8,0.2,-0.2666666666666667,-0.06666666666666668
177.0,AT,3.0,2.0,3.0,0.6,0.4,0.19999999999999996,0.1333333333333333
178.0,AT,4.0,2.0,2.0,0.6666666666666666,0.3333333333333333,-0.22222222222222224,-0.11111111111111112
180.0,AT,3.0,3.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
181.0,AT,3.0,3.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
186.0,AT,1.0,5.0,2.0,0.16666666666666666,0.8333333333333334,-0.05555555555555556,-0.27777777777777785
189.0,AT,1.0,1.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
192.0,AT,1.0,2.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
194.0,AT,3.0,4.0,3.0,0.42857142857142855,0.5714285714285714,0.14285714285714282,0.1904761904761904
195.0,AT,3.0,3.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
199.0,AT,2.0,1.0,4.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
200.0,AT,3.0,4.0,2.0,0.42857142857142855,0.5714285714285714,-0.14285714285714288,-0.1904761904761905
201.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
203.0,AT,2.0,3.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
204.0,AT,6.0,4.0,3.0,0.6,0.4,0.19999999999999996,0.1333333333333333
207.0,AT,3.0,1.0,2.0,0.75,0.25,-0.25,-0.08333333333333334
209.0,AT,4.0,4.0,4.0,0.5,0.5,0.5,0.5
210.0,AT,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.11111111111111108,0.22222222222222215
213.0,AT,4.0,3.0,1.0,0.5714285714285714,0.42857142857142855,-0.5714285714285714,-0.42857142857142855
216.0,AT,1.0,4.0,3.0,0.2,0.8,0.06666666666666665,0.2666666666666666
219.0,AT,2.0,1.0,1.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,-0.3333333333333333
222.0,AT,1.0,3.0,3.0,0.25,0.75,0.08333333333333331,0.24999999999999994
223.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
224.0,AT,1.0,4.0,2.0,0.2,0.8,-0.06666666666666668,-0.2666666666666667
225.0,AT,3.0,3.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
226.0,AT,2.0,2.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
227.0,AT,5.0,3.0,3.0,0.625,0.375,0.2083333333333333,0.12499999999999997
229.0,AT,1.0,4.0,2.0,0.2,0.8,-0.06666666666666668,-0.2666666666666667
230.0,AT,1.0,2.0,1.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6666666666666666
231.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
234.0,AT,3.0,1.0,2.0,0.75,0.25,-0.25,-0.08333333333333334
236.0,AT,3.0,3.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
243.0,AT,2.0,6.0,4.0,0.25,0.75,0.25,0.75
247.0,AT,4.0,2.0,2.0,0.6666666666666666,0.3333333333333333,-0.22222222222222224,-0.11111111111111112
252.0,AT,3.0,2.0,3.0,0.6,0.4,0.19999999999999996,0.1333333333333333
253.0,AT,1.0,6.0,3.0,0.14285714285714285,0.8571428571428571,0.0476190476190476,0.28571428571428564
258.0,AT,2.0,2.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
261.0,AT,3.0,3.0,1.0,0.5,0.5,-0.5,-0.5
264.0,AT,4.0,3.0,3.0,0.5714285714285714,0.42857142857142855,0.1904761904761904,0.14285714285714282
265.0,AT,2.0,3.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
266.0,AT,2.0,3.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
269.0,AT,4.0,1.0,2.0,0.8,0.2,-0.2666666666666667,-0.06666666666666668
271.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
277.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
279.0,AT,3.0,1.0,3.0,0.75,0.25,0.24999999999999994,0.08333333333333331
284.0,AT,3.0,3.0,1.0,0.5,0.5,-0.5,-0.5
288.0,AT,2.0,3.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
293.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
295.0,AT,2.0,2.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
297.0,AT,2.0,3.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
301.0,AT,1.0,3.0,3.0,0.25,0.75,0.08333333333333331,0.24999999999999994
302.0,AT,4.0,6.0,1.0,0.4,0.6,-0.4,-0.6
304.0,AT,2.0,3.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
305.0,AT,3.0,3.0,1.0,0.5,0.5,-0.5,-0.5
307.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
310.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
311.0,AT,2.0,2.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
314.0,AT,4.0,1.0,1.0,0.8,0.2,-0.8,-0.2
322.0,AT,4.0,2.0,1.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,-0.3333333333333333
325.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
327.0,AT,2.0,4.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
331.0,AT,2.0,4.0,3.0,0.3333333333333333,0.6666666666666666,0.11111111111111108,0.22222222222222215
332.0,AT,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.11111111111111108,0.22222222222222215
334.0,AT,2.0,3.0,3.0,0.4,0.6,0.1333333333333333,0.19999999999999996
335.0,AT,4.0,4.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
336.0,AT,3.0,3.0,4.0,0.5,0.5,0.5,0.5
338.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
339.0,AT,1.0,3.0,1.0,0.25,0.75,-0.25,-0.75
340.0,AT,3.0,1.0,1.0,0.75,0.25,-0.75,-0.25
341.0,AT,1.0,3.0,3.0,0.25,0.75,0.08333333333333331,0.24999999999999994
343.0,AT,2.0,2.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
345.0,AT,4.0,3.0,1.0,0.5714285714285714,0.42857142857142855,-0.5714285714285714,-0.42857142857142855
349.0,AT,5.0,2.0,4.0,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857
351.0,AT,1.0,1.0,1.0,0.5,0.5,-0.5,-0.5
352.0,AT,2.0,4.0,3.0,0.3333333333333333,0.6666666666666666,0.11111111111111108,0.22222222222222215
355.0,AT,5.0,2.0,1.0,0.7142857142857143,0.2857142857142857,-0.7142857142857143,-0.2857142857142857
357.0,AT,2.0,2.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
358.0,AT,2.0,1.0,2.0,0.6666666666666666,0.3333333333333333,-0.22222222222222224,-0.11111111111111112
360.0,AT,2.0,4.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
362.0,AT,2.0,3.0,1.0,0.4,0.6,-0.4,-0.6
363.0,AT,2.0,6.0,3.0,0.25,0.75,0.08333333333333331,0.24999999999999994
364.0,AT,3.0,2.0,3.0,0.6,0.4,0.19999999999999996,0.1333333333333333
365.0,AT,5.0,3.0,2.0,0.625,0.375,-0.20833333333333337,-0.125
366.0,AT,1.0,1.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
367.0,AT,6.0,2.0,3.0,0.75,0.25,0.24999999999999994,0.08333333333333331
368.0,AT,1.0,3.0,3.0,0.25,0.75,0.08333333333333331,0.24999999999999994
369.0,AT,1.0,2.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
370.0,AT,4.0,1.0,4.0,0.8,0.2,0.8,0.2
373.0,AT,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.11111111111111108,0.22222222222222215
375.0,AT,2.0,5.0,2.0,0.2857142857142857,0.7142857142857143,-0.09523809523809525,-0.23809523809523814
379.0,AT,2.0,1.0,2.0,0.6666666666666666,0.3333333333333333,-0.22222222222222224,-0.11111111111111112
380.0,AT,2.0,3.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
381.0,AT,4.0,4.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
382.0,AT,5.0,1.0,4.0,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666
383.0,AT,2.0,3.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
384.0,AT,1.0,1.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
385.0,AT,3.0,5.0,3.0,0.375,0.625,0.12499999999999997,0.2083333333333333
386.0,AT,1.0,4.0,2.0,0.2,0.8,-0.06666666666666668,-0.2666666666666667
388.0,AT,4.0,6.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
389.0,AT,1.0,1.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
391.0,AT,2.0,2.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
392.0,AT,4.0,2.0,3.0,0.6666666666666666,0.3333333333333333,0.22222222222222215,0.11111111111111108
394.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
395.0,AT,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333,0.22222222222222215,0.11111111111111108
398.0,AT,4.0,4.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
399.0,AT,2.0,2.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
400.0,AT,2.0,6.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
401.0,AT,1.0,1.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
402.0,AT,2.0,2.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
403.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
404.0,AT,6.0,1.0,2.0,0.8571428571428571,0.14285714285714285,-0.28571428571428575,-0.04761904761904762
406.0,AT,4.0,4.0,4.0,0.5,0.5,0.5,0.5
407.0,AT,1.0,4.0,3.0,0.2,0.8,0.06666666666666665,0.2666666666666666
409.0,AT,1.0,2.0,1.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6666666666666666
410.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
412.0,AT,1.0,1.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
413.0,AT,2.0,2.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
414.0,AT,2.0,3.0,1.0,0.4,0.6,-0.4,-0.6
416.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
417.0,AT,3.0,2.0,3.0,0.6,0.4,0.19999999999999996,0.1333333333333333
423.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
425.0,AT,2.0,4.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
426.0,AT,2.0,1.0,4.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
427.0,AT,2.0,2.0,4.0,0.5,0.5,0.5,0.5
429.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
431.0,AT,3.0,2.0,1.0,0.6,0.4,-0.6,-0.4
432.0,AT,1.0,1.0,4.0,0.5,0.5,0.5,0.5
433.0,AT,2.0,3.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
435.0,AT,1.0,2.0,1.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6666666666666666
441.0,AT,3.0,1.0,3.0,0.75,0.25,0.24999999999999994,0.08333333333333331
443.0,AT,5.0,2.0,1.0,0.7142857142857143,0.2857142857142857,-0.7142857142857143,-0.2857142857142857
445.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
446.0,AT,1.0,3.0,1.0,0.25,0.75,-0.25,-0.75
450.0,AT,3.0,5.0,2.0,0.375,0.625,-0.125,-0.20833333333333337
451.0,AT,2.0,1.0,2.0,0.6666666666666666,0.3333333333333333,-0.22222222222222224,-0.11111111111111112
452.0,AT,6.0,2.0,1.0,0.75,0.25,-0.75,-0.25
453.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
455.0,AT,2.0,1.0,1.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,-0.3333333333333333
458.0,AT,1.0,2.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
459.0,AT,1.0,6.0,1.0,0.14285714285714285,0.8571428571428571,-0.14285714285714285,-0.8571428571428571
461.0,AT,2.0,2.0,1.0,0.5,0.5,-0.5,-0.5
464.0,AT,4.0,4.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
465.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
466.0,AT,1.0,1.0,1.0,0.5,0.5,-0.5,-0.5
468.0,AT,5.0,3.0,4.0,0.625,0.375,0.625,0.375
469.0,AT,4.0,3.0,2.0,0.5714285714285714,0.42857142857142855,-0.1904761904761905,-0.14285714285714288
475.0,AT,1.0,1.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
476.0,AT,2.0,2.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
477.0,AT,3.0,2.0,3.0,0.6,0.4,0.19999999999999996,0.1333333333333333
478.0,AT,4.0,2.0,2.0,0.6666666666666666,0.3333333333333333,-0.22222222222222224,-0.11111111111111112
480.0,AT,3.0,1.0,3.0,0.75,0.25,0.24999999999999994,0.08333333333333331
482.0,AT,3.0,4.0,2.0,0.42857142857142855,0.5714285714285714,-0.14285714285714288,-0.1904761904761905
483.0,AT,1.0,4.0,3.0,0.2,0.8,0.06666666666666665,0.2666666666666666
484.0,AT,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666,0.11111111111111108,0.22222222222222215
485.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
486.0,AT,1.0,2.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
487.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
488.0,AT,4.0,4.0,4.0,0.5,0.5,0.5,0.5
491.0,AT,1.0,4.0,3.0,0.2,0.8,0.06666666666666665,0.2666666666666666
492.0,AT,2.0,3.0,1.0,0.4,0.6,-0.4,-0.6
493.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
497.0,AT,4.0,2.0,2.0,0.6666666666666666,0.3333333333333333,-0.22222222222222224,-0.11111111111111112
498.0,AT,6.0,4.0,1.0,0.6,0.4,-0.6,-0.4
501.0,AT,1.0,2.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
502.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
503.0,AT,2.0,5.0,3.0,0.2857142857142857,0.7142857142857143,0.0952380952380952,0.23809523809523805
504.0,AT,6.0,3.0,1.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,-0.3333333333333333
505.0,AT,3.0,3.0,1.0,0.5,0.5,-0.5,-0.5
507.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
508.0,AT,2.0,2.0,4.0,0.5,0.5,0.5,0.5
510.0,AT,3.0,3.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
511.0,AT,3.0,3.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
512.0,AT,2.0,4.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
515.0,AT,3.0,4.0,3.0,0.42857142857142855,0.5714285714285714,0.14285714285714282,0.1904761904761904
520.0,AT,2.0,6.0,3.0,0.25,0.75,0.08333333333333331,0.24999999999999994
522.0,AT,4.0,1.0,2.0,0.8,0.2,-0.2666666666666667,-0.06666666666666668
526.0,AT,4.0,4.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
531.0,AT,1.0,1.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
535.0,AT,1.0,1.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
536.0,AT,3.0,3.0,1.0,0.5,0.5,-0.5,-0.5
539.0,AT,1.0,2.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
540.0,AT,2.0,3.0,4.0,0.4,0.6,0.4,0.6
542.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
548.0,AT,4.0,2.0,3.0,0.6666666666666666,0.3333333333333333,0.22222222222222215,0.11111111111111108
550.0,AT,3.0,5.0,2.0,0.375,0.625,-0.125,-0.20833333333333337
552.0,AT,4.0,4.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
554.0,AT,1.0,2.0,1.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6666666666666666
556.0,AT,6.0,6.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
557.0,AT,1.0,3.0,3.0,0.25,0.75,0.08333333333333331,0.24999999999999994
558.0,AT,1.0,1.0,1.0,0.5,0.5,-0.5,-0.5
559.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
560.0,AT,3.0,3.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
561.0,AT,2.0,2.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
563.0,AT,3.0,3.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
564.0,AT,2.0,3.0,3.0,0.4,0.6,0.1333333333333333,0.19999999999999996
565.0,AT,3.0,1.0,2.0,0.75,0.25,-0.25,-0.08333333333333334
567.0,AT,1.0,2.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
568.0,AT,1.0,6.0,1.0,0.14285714285714285,0.8571428571428571,-0.14285714285714285,-0.8571428571428571
569.0,AT,5.0,1.0,3.0,0.8333333333333334,0.16666666666666666,0.27777777777777773,0.05555555555555554
571.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
574.0,AT,1.0,1.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
580.0,AT,3.0,4.0,2.0,0.42857142857142855,0.5714285714285714,-0.14285714285714288,-0.1904761904761905
581.0,AT,3.0,3.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
582.0,AT,5.0,1.0,3.0,0.8333333333333334,0.16666666666666666,0.27777777777777773,0.05555555555555554
585.0,AT,3.0,1.0,3.0,0.75,0.25,0.24999999999999994,0.08333333333333331
587.0,AT,2.0,2.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
588.0,AT,4.0,2.0,3.0,0.6666666666666666,0.3333333333333333,0.22222222222222215,0.11111111111111108
589.0,AT,2.0,3.0,3.0,0.4,0.6,0.1333333333333333,0.19999999999999996
590.0,AT,1.0,2.0,2.0,0.3333333333333333,0.6666666666666666,-0.11111111111111112,-0.22222222222222224
592.0,AT,2.0,1.0,1.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,-0.3333333333333333
