context,p,decision
15,1,"[-0.3302269721106632, -0.34103354050647317]"
15,2,"[-0.31437223511962115, -0.35361978690097884]"
15,3,"[np.float64(-0.2861908556016956), np.float64(-0.4423317880219155)]"
16,0,"[np.float64(0.1717780923820659), np.float64(-0.028370595733525832)]"
16,1,"[0.26190531048916643, -0.13555871697073646]"
16,2,"[0.21653312736337973, -0.07690175173667695]"
16,3,"[0.2277835453222794, -0.09012698042675327]"
17,0,"[np.float64(0.047887853331209825), np.float64(-0.028081705688847283)]"
17,1,"[0.030654052218549832, 0.0162035655576793]"
17,2,"[0.0480352538747029, -0.024623759843866458]"
17,3,"[0.04176844837442974, 0.0037237484980154317]"
18,0,"[np.float64(-0.1260138938329371), np.float64(-0.4085737038559111)]"
18,1,"[-0.1861724715763277, -0.3516651502764248]"
18,2,"[-0.12837110557924258, -0.4100422001397042]"
18,3,"[np.float64(-0.11920976547856357), np.float64(-0.4148947556124366)]"
19,0,"[np.float64(0.2632390215552485), np.float64(0.12067558569362884)]"
19,1,"[0.17880251597346736, 0.02205094084585668]"
19,2,"[0.19999107207094896, 0.03417552297278254]"
19,3,"[np.float64(0.28000159611784964), np.float64(0.11338369254569064)]"
20,0,"[np.float64(-0.13859198964797492), np.float64(-0.14519584671637947)]"
20,1,"[-0.22458971257366517, -0.15673120716023137]"
20,2,"[-0.18637485845081508, -0.14578042149654502]"
20,3,"[np.float64(-0.13856209777704365), np.float64(-0.14555497787028152)]"
21,0,"[np.float64(0.1745444358780078), np.float64(-0.07221787160951543)]"
21,1,"[0.11125903954999444, -0.02733109680180778]"
21,2,"[0.16543696817431475, -0.04812771619670134]"
21,3,"[0.12885651933834805, -0.04654069007509703]"
22,0,"[np.float64(-0.12420594064944804), np.float64(0.0005563753970093677)]"
22,1,"[-0.09443923340097782, 0.07255117818802133]"
22,2,"[-0.10086544191800796, 0.05856350805795439]"
22,3,"[-0.12120373681935812, 0.008436423788895017]"
23,0,"[np.float64(-0.18881317926724125), np.float64(0.3158676583966269)]"
23,1,"[-0.0022637865226345782, 0.32182304908147297]"
23,2,"[-0.02885216955698888, 0.31824425413633656]"
23,3,"[np.float64(-0.14005416515974442), np.float64(0.31535612691311316)]"
24,0,"[np.float64(-0.32711732487514655), np.float64(-0.12376420511185258)]"
24,1,"[0.16246153436819027, -0.09175043744429126]"
24,2,"[-0.0820320243037343, -0.12376420511185257]"
24,3,"[np.float64(-0.21457811970990648), np.float64(-0.13254351303823714)]"
25,0,"[np.float64(-0.2466084922092731), np.float64(-0.2570758630059514)]"
25,1,"[-0.16156990817154693, -0.12872432972442732]"
25,2,"[-0.19914246463240048, -0.1581768946045558]"
25,3,"[np.float64(-0.24347875707772443), np.float64(-0.23735260901175348)]"
26,0,"[np.float64(-0.2710331420309285), np.float64(-0.04040252140994263)]"
26,1,"[-0.30365335717120034, 0.018999155509366962]"
26,2,"[-0.2775795753950927, 0.005006521019245078]"
26,3,"[-0.2746927691415805, 0.002682203766313923]"
27,0,"[np.float64(0.22388137952368953), np.float64(0.10721973850467634)]"
27,1,"[0.08691705128427815, 0.017760895804337526]"
27,2,"[0.08699750639832277, 0.01777684534857431]"
27,3,"[0.18481278716873517, 0.0803408142586656]"
28,0,"[np.float64(0.19161989542978403), np.float64(-0.16433358657923008)]"
28,1,"[0.14645992271451505, -0.0328671990095894]"
28,2,"[0.14637868369103216, -0.032920618419148576]"
28,3,"[np.float64(0.20529823934904057), np.float64(-0.15830166880771365)]"
29,0,"[np.float64(0.22341542260430952), np.float64(0.030795963950164915)]"
29,1,"[0.06797405138974467, 0.20836818405746504]"
29,2,"[0.14348451113704153, 0.10089563027313202]"
29,3,"[np.float64(0.20850281583159003), np.float64(0.026219115040606783)]"
30,0,"[np.float64(-0.14448395615848225), np.float64(0.391485960988037)]"
30,1,"[-0.1215963792294265, 0.019808052620499665]"
30,2,"[-0.12594491652225964, 0.27467003500168713]"
30,3,"[np.float64(-0.13693298232396514), np.float64(0.43132583318288525)]"
31,0,"[np.float64(0.016053557154252364), np.float64(-0.08315551141946509)]"
31,1,"[-0.024397920374695587, -0.007514483347999618]"
31,2,"[0.016760685424328393, -0.07641457447042385]"
31,3,"[np.float64(0.014813310074445035), np.float64(-0.09429796529340537)]"
32,0,"[np.float64(-0.4631775672220838), np.float64(0.0822906505010553)]"
32,1,"[-0.40035377583884996, 0.1563901357734993]"
32,2,"[-0.43319504970595024, 0.0971243739011323]"
32,3,"[-0.41508870480513144, 0.12885237160885235]"
33,0,"[np.float64(0.14922199344146048), np.float64(-0.23350688226120797)]"
33,1,"[0.02652226669997851, 0.02787662866966965]"
33,2,"[0.07409238236868332, -0.03146573706497517]"
33,3,"[0.10888475889891176, -0.08870008790385141]"
34,0,"[np.float64(0.3202897074624021), np.float64(-0.20907718264962316)]"
34,1,"[-0.024820772314735864, 0.053195862400252286]"
34,2,"[0.06959271335087115, -0.024308794482705495]"
34,3,"[np.float64(0.351904554830204), np.float64(-0.25170627596710565)]"
35,0,"[np.float64(0.10861420005912328), np.float64(-0.1775772917932253)]"
35,1,"[0.034755680561564264, -0.25765316994562165]"
35,2,"[0.0959233426229224, -0.19728433139010035]"
35,3,"[np.float64(0.1334351731892955), np.float64(-0.16247308920833942)]"
36,0,"[np.float64(0.04183957368875046), np.float64(0.055970858070137935)]"
36,1,"[0.07308615498657248, 0.14876230944059748]"
36,2,"[0.04183957368875048, 0.10481330465648249]"
36,3,"[np.float64(0.03743835628431329), np.float64(0.0796785005872046)]"
37,0,"[np.float64(0.3392010428149148), np.float64(0.18260576378336196)]"
37,1,"[0.295550776281425, 0.08378607712637903]"
37,2,"[0.3228056607173501, 0.14606714078431293]"
37,3,"[0.32644587651016715, 0.15108660733349488]"
38,0,"[np.float64(0.18664516582080531), np.float64(0.015701286319777852)]"
38,1,"[0.19659512518949376, 0.15435687488224678]"
38,2,"[0.18608367911260074, 0.11598230570342077]"
38,3,"[np.float64(0.18678622850910778), np.float64(0.02924754176858091)]"
39,0,"[np.float64(0.09039522446590467), np.float64(0.2692032969976542)]"
39,1,"[0.09744595318361306, 0.03369762905924203]"
39,2,"[0.09122740803856018, 0.12092725362052337]"
39,3,"[np.float64(0.08909965077196445), np.float64(0.24412685212534269)]"
40,0,"[np.float64(-0.5464651451405503), np.float64(0.2188446655872579)]"
40,1,"[-0.17817348506212577, -0.1784631429708246]"
40,2,"[-0.3700913914948815, 0.018503764341440826]"
40,3,"[np.float64(-0.4411100135263627), np.float64(0.09332446166258392)]"
41,0,"[np.float64(0.10247489749197881), np.float64(0.11983625977896561)]"
41,1,"[0.1628355193562942, -0.08902057565635621]"
41,2,"[0.07684519876256837, 0.0025259687652718667]"
41,3,"[np.float64(0.07099381929084872), np.float64(0.029103856644894403)]"
42,0,"[np.float64(-0.11094322906414615), np.float64(-0.02740560718086517)]"
42,1,"[-0.13494333630653305, 0.07948677854155059]"
42,2,"[-0.12478779011002786, 0.026416612339953544]"
42,3,"[np.float64(-0.11173373015894436), np.float64(-0.04149996209234692)]"
43,0,"[np.float64(0.01947660153678278), np.float64(-0.3545154394605323)]"
43,1,"[-0.047247851462223864, -0.21141585731780715]"
43,2,"[0.025653518543912738, -0.29574262441907706]"
43,3,"[0.025653518543912738, -0.29574262441907706]"
44,0,"[np.float64(-0.2064152805229763), np.float64(-0.3793328153468926)]"
44,1,"[-0.05439433555652488, -0.12420301287650881]"
44,2,"[-0.17327057917782215, -0.2712313873504613]"
44,3,"[-0.18174014489066295, -0.28548832010243924]"
45,0,"[np.float64(-0.13810634107808306), np.float64(-0.3426371270240838)]"
45,1,"[-0.15505512078934314, -0.11179161833868612]"
45,2,"[-0.15763588776420318, -0.14140843766290434]"
45,3,"[np.float64(-0.1346083051730746), np.float64(-0.3183682574401544)]"
46,0,"[np.float64(-0.07769846165128), np.float64(-0.32138668464189457)]"
46,1,"[-0.05530922529964005, -0.03791755077225205]"
46,2,"[-0.07400040877925097, -0.14514532573747904]"
46,3,"[np.float64(-0.07935755792889938), np.float64(-0.28152866092124296)]"
47,0,"[np.float64(-0.7810621414342279), np.float64(-0.23126849658189472)]"
47,1,"[-0.4633963060282378, -0.1486006926426077]"
47,2,"[-0.6208807797822529, -0.21077576745021173]"
47,3,"[np.float64(-0.7113858557982315), np.float64(-0.23256120589184107)]"
48,0,"[np.float64(0.07454975882673767), np.float64(0.06666212735807459)]"
48,1,"[0.12336228611315288, -0.03483164080226475]"
48,2,"[0.1032335663816224, 0.06531974560687738]"
48,3,"[0.11835545614391038, -0.0012180367453301436]"
49,0,"[np.float64(0.1354961301813454), np.float64(-0.0005985039477767323)]"
49,1,"[-0.002527459321239593, -0.01728753373700919]"
49,2,"[-0.0008764038194368218, -0.011006366480307707]"
49,3,"[0.016522960278284163, -0.0038423159133832985]"
50,0,"[np.float64(0.16307178840598804), np.float64(-0.007764601624552425)]"
50,1,"[0.18578985229216066, -0.027973574662505763]"
50,2,"[0.17153095504449895, -0.0069334750186028915]"
50,3,"[np.float64(0.1617675817887903), np.float64(-0.008089500370469228)]"
51,0,"[np.float64(0.005637008366754875), np.float64(0.07924119866187312)]"
51,1,"[0.09572389744485157, 0.23794712090416148]"
51,2,"[0.09078379806385645, 0.18729561381223842]"
51,3,"[0.08573958706446386, 0.15457339135029405]"
52,0,"[np.float64(0.19904494463173505), np.float64(0.16978911750611245)]"
52,1,"[0.21979402859766106, 0.1275271255902526]"
52,2,"[0.2032690137183955, 0.14477602239453508]"
52,3,"[0.21096297566362127, 0.1338495712986535]"
53,0,"[np.float64(-0.3824333142730033), np.float64(-0.512095263182254)]"
53,1,"[-0.07284149816321422, -0.1557198269070188]"
53,2,"[-0.3207840080667238, -0.29716205293830344]"
53,3,"[np.float64(-0.3595828100582535), np.float64(-0.34628292801296895)]"
54,0,"[np.float64(0.14827523079278357), np.float64(-0.19032283371161643)]"
54,1,"[0.09066099848835016, -0.13052423289427162]"
54,2,"[0.09436530204120236, -0.13188856102131644]"
54,3,"[np.float64(0.1545904922791035), np.float64(-0.20752684673581348)]"
55,0,"[np.float64(-0.09547551957684768), np.float64(0.6959043667737407)]"
55,1,"[-0.04055623672404867, 0.5361122958164602]"
55,2,"[-0.03705113081613856, 0.5953531962446452]"
55,3,"[np.float64(-0.07694809034103786), np.float64(0.6547346313611097)]"
56,0,"[np.float64(0.054987685321166366), np.float64(0.13941759642260926)]"
56,1,"[0.08278276036152878, -0.0844434835893308]"
56,2,"[0.04241857311310471, 0.04497029711321661]"
56,3,"[np.float64(0.037427020812211956), np.float64(0.12248110662018372)]"
57,0,"[np.float64(-0.11790594087603291), np.float64(0.0058904814987561435)]"
57,1,"[0.13559299488331494, -0.017123804143429802]"
57,2,"[0.08473759337546594, -0.0018753280005113157]"
57,3,"[0.07305678026555769, -0.000182876004780827]"
58,0,"[np.float64(-0.28376768404748387), np.float64(0.34983945910923187)]"
58,1,"[-0.2595462174342866, 0.39345824414364805]"
58,2,"[-0.3089970830534251, 0.3784822552195537]"
58,3,"[np.float64(-0.3119184640889973), np.float64(0.3717481093728151)]"
59,0,"[np.float64(-0.10567284761188267), np.float64(-0.21178809657412248)]"
59,1,"[-0.2158597385865149, -0.0771403851825794]"
59,2,"[-0.11766615338692102, -0.16482887800461601]"
59,3,"[np.float64(-0.09218677472158801), np.float64(-0.19984539935679085)]"
60,0,"[np.float64(-0.08741867003456191), np.float64(-0.09889523899872543)]"
60,1,"[0.08096754329943874, -0.21221385499051704]"
60,2,"[-0.07429313679857699, -0.10779112178599548]"
60,3,"[np.float64(-0.17878085567937751), np.float64(-0.03394773066671532)]"
61,0,"[np.float64(-0.20623788499415419), np.float64(-0.4316351906399831)]"
61,1,"[-0.08471607133364803, 0.02037212833284938]"
61,2,"[-0.16778536918613135, -0.1806437235569744]"
61,3,"[-0.1203360846897281, -0.07176525483058549]"
62,0,"[np.float64(0.1920510868321633), np.float64(0.25781297542029813)]"
62,1,"[0.16620739182084618, 0.22804290614871395]"
62,2,"[0.19131991284179378, 0.2559669747340097]"
62,3,"[0.18543468277013578, 0.24828584395021497]"
63,0,"[np.float64(0.017732650796372318), np.float64(0.2344138036956609)]"
63,1,"[0.016703234525720603, -0.06257193333966155]"
63,2,"[-0.009926496424045639, 0.08085226312180724]"
63,3,"[np.float64(0.012718815999738092), np.float64(0.2514767571385557)]"
64,0,"[np.float64(0.27729417841813453), np.float64(0.21378894708785814)]"
64,1,"[0.21416236648827233, 0.36404116487727944]"
64,2,"[0.23843869548645302, 0.2813782645637145]"
64,3,"[0.2253976603510452, 0.3130907725571379]"
65,0,"[np.float64(-0.13711720554695545), np.float64(-0.0720717615692081)]"
65,1,"[-0.20712135602279222, -0.16981005488949796]"
65,2,"[-0.16096914337193188, -0.10808062068581824]"
65,3,"[-0.17406634362200604, -0.1384215556671128]"
66,0,"[np.float64(-0.2574586813305116), np.float64(-0.1279108265067242)]"
66,1,"[-0.2294051141904067, -0.05750593322531371]"
66,2,"[-0.2526848748784593, -0.11185930928355034]"
66,3,"[np.float64(-0.2612873371871065), np.float64(-0.1405988306947174)]"
67,0,"[np.float64(0.041610651431148206), np.float64(-0.027753233261341263)]"
67,1,"[0.11442766725746205, -0.16052937181567142]"
67,2,"[0.0931805306626087, -0.05939659504455856]"
67,3,"[np.float64(0.07469553254832531), np.float64(-0.028930708017825636)]"
68,0,"[np.float64(0.1991703155314106), np.float64(-0.40553241598949186)]"
68,1,"[0.18015921620490474, -0.1741255565891297]"
68,2,"[0.2274031782153879, -0.26174921284840336]"
68,3,"[np.float64(0.24324634187708824), np.float64(-0.3467254655328001)]"
69,0,"[np.float64(0.12064826617298295), np.float64(0.2928975858881623)]"
69,1,"[0.15409959366240977, 0.10578534786565677]"
69,2,"[0.1345402946703476, 0.17185215920164174]"
69,3,"[np.float64(0.11141257444564226), np.float64(0.23106156796889107)]"
70,0,"[np.float64(-0.26861404298073727), np.float64(0.15210741247439666)]"
70,1,"[0.1929221402309691, 0.17814691606562608]"
70,2,"[-0.031582449871706164, 0.1429355409373233]"
70,3,"[np.float64(-0.11910551948073297), np.float64(0.12835740111316596)]"
71,0,"[np.float64(-0.14933995229708064), np.float64(-0.3643959648810184)]"
71,1,"[-0.11397859691364606, -0.07297296509654322]"
71,2,"[-0.11589457318505714, -0.07719052021397146]"
71,3,"[np.float64(-0.1527955113000893), np.float64(-0.3257610174691472)]"
72,0,"[np.float64(-0.3932628952431589), np.float64(-0.2870034024448049)]"
72,1,"[-0.049380395659498165, -0.21696454640628499]"
72,2,"[-0.19951809463494027, -0.24070434209654096]"
72,3,"[np.float64(-0.348081199479949), np.float64(-0.26739614718566596)]"
73,0,"[np.float64(0.15485675191469178), np.float64(0.20792769430123298)]"
73,1,"[0.19126891182353967, 0.06686075583823639]"
73,2,"[0.17957110109806837, 0.1379478584188646]"
73,3,"[np.float64(0.15575934542152894), np.float64(0.1944443891492959)]"
74,0,"[np.float64(-0.24533860947571964), np.float64(-0.32429895121712893)]"
74,1,"[-0.2926694336276211, -0.2336983022995399]"
74,2,"[-0.26438992259027294, -0.3103159957107873]"
74,3,"[np.float64(-0.25104671341858076), np.float64(-0.3330083390709984)]"
0,0,"[np.float64(0.22797275471076717), np.float64(-0.09143298649742113)]"
0,1,"[0.2118639295964025, -0.03713931413125823]"
0,2,"[0.25526638436983673, -0.06622282079321452]"
0,3,"[np.float64(0.2714875858447523), np.float64(-0.11020509778000129)]"
1,0,"[np.float64(0.32932560231962316), np.float64(-0.21803778215658384)]"
1,1,"[0.3360242245542937, 0.13596589560754546]"
1,2,"[0.33601893909282843, 0.13570139246339188]"
1,3,"[np.float64(0.32811285213580765), np.float64(-0.1643362898958239)]"
2,0,"[np.float64(0.18521053109193866), np.float64(0.03794115025419511)]"
2,1,"[0.1645099675207124, -0.18481977642487704]"
2,2,"[0.19011359950850537, -0.10241825275982872]"
2,3,"[np.float64(0.1983591333193325), np.float64(-0.023788695092986676)]"
3,0,"[np.float64(-0.4481737005056868), np.float64(-0.12833630181667147)]"
3,1,"[-0.4388043957255086, 0.031062426535889642]"
3,2,"[-0.4456079715561254, -0.10651740642651678]"
3,3,"[-0.43947261506502805, -0.029535408118558176]"
4,0,"[np.float64(0.06315021559156979), np.float64(-0.07372243786353948)]"
4,1,"[-0.0010721537622779727, -0.061974713329493225]"
4,2,"[0.007041794766258769, -0.05204803907575903]"
4,3,"[np.float64(0.07598855551669596), np.float64(-0.06594887640397513)]"
5,0,"[np.float64(-0.4019596516351816), np.float64(-0.2737351085518847)]"
5,1,"[-0.40749168823437115, -0.22301259811677027]"
5,2,"[-0.4018029183484023, -0.2284261426609367]"
5,3,"[-0.40020992543135375, -0.21801082605415142]"
6,0,"[np.float64(-0.22089709443676647), np.float64(0.03455618334919222)]"
6,1,"[-0.3050484274440343, 0.103246694013554]"
6,2,"[-0.23595051429829142, 0.059596634877767785]"
6,3,"[np.float64(-0.21099681940870454), np.float64(0.03432993171025018)]"
7,0,"[np.float64(-0.00757373068299394), np.float64(0.013819329444912182)]"
7,1,"[-0.05045069854439399, 0.17120114453198135]"
7,2,"[0.03739302263879957, 0.09463646224191803]"
7,3,"[0.0031154193282348086, 0.14504305889500152]"
8,0,"[np.float64(0.2337985621875961), np.float64(-0.43208336887315413)]"
8,1,"[0.386746666787526, -0.32440074734884966]"
8,2,"[0.3783006854331179, -0.3330562621368145]"
8,3,"[0.30397750229814857, -0.40402347412530315]"
9,0,"[np.float64(-0.11042383512161433), np.float64(-0.36471334100476727)]"
9,1,"[-0.09754371466031167, -0.4162031281007546]"
9,2,"[-0.1106922790564406, -0.36759185480550033]"
9,3,"[np.float64(-0.10967545698547847), np.float64(-0.3561790442733709)]"
10,0,"[np.float64(-0.019955451786404954), np.float64(0.017302308249326836)]"
10,1,"[-0.07100565021350255, -0.20573781532677538]"
10,2,"[-0.07094680958530496, -0.20010446564456844]"
10,3,"[-0.050565846984617455, -0.1355193695616153]"
11,0,"[np.float64(-0.1303270241326779), np.float64(0.5462217752383659)]"
11,1,"[-0.048007386846383615, 0.5442696917834384]"
11,2,"[-0.10260727886254917, 0.5447869863993793]"
11,3,"[np.float64(-0.1444231508165525), np.float64(0.547741444174519)]"
12,0,"[np.float64(-0.020213251985110772), np.float64(-0.5942107199205842)]"
12,1,"[0.18160455817881743, -0.38511476983609993]"
12,2,"[0.03330518019995943, -0.4838299835856014]"
12,3,"[np.float64(-0.028767761330103198), np.float64(-0.5597268570935516)]"
13,0,"[np.float64(0.1667286495947694), np.float64(0.056615959546900116)]"
13,1,"[0.10365621108027151, -0.012681604979192011]"
13,2,"[0.1093025097500695, 0.0010982833740144846]"
13,3,"[np.float64(0.18068253343139465), np.float64(0.06429380419615781)]"
14,0,"[np.float64(0.1058519870469932), np.float64(0.05548799078575858)]"
14,1,"[0.1340012796925251, 0.1474177936610032]"
14,2,"[0.1068555750396069, 0.06265867566977851]"
14,3,"[np.float64(0.10399412930825516), np.float64(0.04178317197031694)]"
15,0,"[np.float64(-0.24225316610763376), np.float64(0.36504007497070534)]"
15,1,"[-0.11103693750347793, -0.09918529489795558]"
15,2,"[-0.22934943622245418, 0.16389714655231535]"
15,3,"[-0.19249728352853118, 0.08254757208788628]"
16,0,"[np.float64(-0.06315138731528361), np.float64(-0.44429065531191936)]"
16,1,"[-0.054534508666409576, -0.3173841770823716]"
16,2,"[-0.057242804814888415, -0.3240010124637243]"
16,3,"[-0.06162883429760932, -0.347148204353676]"
17,0,"[np.float64(-0.2414242692369179), np.float64(0.06541326332922456)]"
17,1,"[-0.29496887581305853, 0.15532197652691315]"
17,2,"[-0.2652072188601993, 0.10831202410804265]"
17,3,"[np.float64(-0.23418716193033737), np.float64(0.052066159918425725)]"
18,0,"[np.float64(-0.2448900742066038), np.float64(-0.4368762291197287)]"
18,1,"[0.005495527472398488, -0.34056333230280317]"
18,2,"[-0.08610392717129726, -0.374082233632365]"
18,3,"[np.float64(-0.2377703123473438), np.float64(-0.4366267161401522)]"
19,0,"[np.float64(0.22166451076756072), np.float64(-0.0467654560209265)]"
19,1,"[0.05946433130232195, -0.07401418451574861]"
19,2,"[0.06348747182802815, -0.07319908821012332]"
19,3,"[np.float64(0.18907067865097382), np.float64(-0.03972640094034628)]"
20,0,"[np.float64(-0.10786235118754281), np.float64(-0.4501898895673363)]"
20,1,"[-0.15241975419751086, -0.33312220290866706]"
20,2,"[-0.08320251559259348, -0.4438620867522204]"
20,3,"[np.float64(-0.0664883170318891), np.float64(-0.47349233289390913)]"
21,0,"[np.float64(0.0019133914080424266), np.float64(-0.13112245002541065)]"
21,1,"[-0.0020283113187113608, -0.06535437207566774]"
21,2,"[0.0017149912959544822, -0.11784133215505965]"
21,3,"[np.float64(0.0016039204335820886), np.float64(-0.14990281677259132)]"
22,0,"[np.float64(0.18602959480305847), np.float64(0.004157843955515744)]"
22,1,"[-0.05864691738661603, 0.06235117918841132]"
22,2,"[0.005906681708208513, 0.012882085357288062]"
22,3,"[0.08990924413405725, -0.00025991372931601087]"
23,0,"[np.float64(-0.3687479618260838), np.float64(0.0597304019144205)]"
23,1,"[-0.3644359837893349, -0.011266293345599844]"
23,2,"[-0.36444775941436064, -0.011424604640355905]"
23,3,"[np.float64(-0.3626805301331836), np.float64(0.07967949976355483)]"
24,0,"[np.float64(0.22313442397693425), np.float64(0.3121882504654601)]"
24,1,"[0.08011591113978049, 0.24297014257686025]"
24,2,"[0.17172606873129032, 0.28726489073773603]"
24,3,"[np.float64(0.21250580344384343), np.float64(0.31485010735365654)]"
25,0,"[np.float64(-0.25079943809319444), np.float64(0.10489545677305208)]"
25,1,"[-0.2051035198482583, 0.07301825593180954]"
25,2,"[-0.21029822455829697, 0.09793859032287117]"
25,3,"[-0.2201652544474884, 0.10489545677305204]"
26,0,"[np.float64(-0.07571925039211982), np.float64(-0.014347419074006208)]"
26,1,"[-0.02203663119199957, -0.020410745482585556]"
26,2,"[-0.008739279842384345, -0.014289719911499014]"
26,3,"[-0.007911814152501292, -0.011324608077416334]"
27,0,"[np.float64(0.02515918066130131), np.float64(0.3117941888595084)]"
27,1,"[0.019130387850003802, 0.18369016460503115]"
27,2,"[0.04039641049199759, 0.23394218235582226]"
27,3,"[np.float64(0.03315257863604601), np.float64(0.2550256838279382)]"
28,0,"[np.float64(-0.19656524333874506), np.float64(-0.3032597681763218)]"
28,1,"[-0.1990200965146534, 0.08437271378000667]"
28,2,"[-0.1913044331062336, -0.08977671275942391]"
28,3,"[-0.19459022513728708, -0.058845885943820696]"
29,0,"[np.float64(0.02165612284748103), np.float64(0.0763035299215537)]"
29,1,"[-0.044137773991172635, -0.0010354080008185204]"
29,2,"[0.00806979660352869, 0.05504283726064771]"
29,3,"[0.018209192534252627, 0.07089919116463832]"
30,0,"[np.float64(-0.2659058623819627), np.float64(0.41286309604543864)]"
30,1,"[-0.29313082650720157, 0.344521384744479]"
30,2,"[-0.27095505738099673, 0.4044923967865481]"
30,3,"[np.float64(-0.2692947987798453), np.float64(0.40770663744316576)]"
31,0,"[np.float64(-0.3736884525570385), np.float64(0.10133825435885022)]"
31,1,"[-0.1083110683675336, 0.034084251894483115]"
31,2,"[-0.26113207625681695, 0.10050331439283428]"
31,3,"[-0.16327986267127031, 0.04861937341602922]"
32,0,"[np.float64(-0.6160757155538119), np.float64(-0.3132375425622449)]"
32,1,"[-0.39073946071560073, -0.15393709163921676]"
32,2,"[-0.46592094002090034, -0.2480528253756984]"
32,3,"[np.float64(-0.584473236463582), np.float64(-0.32250511335092436)]"
33,0,"[np.float64(-0.26889724483830973), np.float64(-0.14630307845488222)]"
33,1,"[-0.3203369631381291, -0.2175798843857085]"
33,2,"[-0.3145564281596948, -0.20110538249465018]"
33,3,"[np.float64(-0.27258305908880726), np.float64(-0.1453711637324397)]"
